2.500000000000000000e+01 1.025972079246978741e+06
5.000000000000000000e+01 1.192619117563252803e+06
7.500000000000000000e+01 1.140037017155087553e+06
1.000000000000000000e+02 1.342066738416395150e+06
1.250000000000000000e+02 1.394651199721417855e+06
1.500000000000000000e+02 1.464393965607879218e+06
1.750000000000000000e+02 1.508506227318964200e+06
2.000000000000000000e+02 1.631476475128552644e+06
2.250000000000000000e+02 1.583614522537768353e+06
2.500000000000000000e+02 1.441966914192529162e+06
2.750000000000000000e+02 1.493793659618800739e+06
3.000000000000000000e+02 1.472675181765205460e+06
3.250000000000000000e+02 1.384625274578710319e+06
3.500000000000000000e+02 1.383409886219313368e+06
3.750000000000000000e+02 1.422134188426826382e+06
4.000000000000000000e+02 1.419048934721073601e+06
4.250000000000000000e+02 1.426573332742618863e+06
4.500000000000000000e+02 1.389101145674626809e+06
4.750000000000000000e+02 1.407297254433986731e+06
5.000000000000000000e+02 -inf
1.000000000000000000e+03 1.603101924442378106e+06
1.500000000000000000e+03 -inf
2.000000000000000000e+03 1.117618278167444747e+06
2.500000000000000000e+03 -inf
3.000000000000000000e+03 1.066185731110054534e+06
3.500000000000000000e+03 -inf
4.000000000000000000e+03 -inf
4.500000000000000000e+03 -inf
