2.500000000000000000e+01 1.209298707678696606e+06
5.000000000000000000e+01 1.334640302174042678e+06
7.500000000000000000e+01 1.283180496317718178e+06
1.000000000000000000e+02 1.502820187073663808e+06
1.250000000000000000e+02 1.578295490933810361e+06
1.500000000000000000e+02 1.688771801155582769e+06
1.750000000000000000e+02 1.757387266779482365e+06
2.000000000000000000e+02 1.921171473872516770e+06
2.250000000000000000e+02 1.858939028655041941e+06
2.500000000000000000e+02 1.696407550867055077e+06
2.750000000000000000e+02 1.766498450044573518e+06
3.000000000000000000e+02 1.736613605013763998e+06
3.250000000000000000e+02 1.643425620937293395e+06
3.500000000000000000e+02 1.650453250214396976e+06
3.750000000000000000e+02 1.708709444018677576e+06
4.000000000000000000e+02 1.722382124504971085e+06
4.250000000000000000e+02 1.734182159664069070e+06
4.500000000000000000e+02 1.698489201943140943e+06
4.750000000000000000e+02 1.738942617351644905e+06
5.000000000000000000e+02 1.887769507026152685e+06
1.000000000000000000e+03 2.176947937696615700e+06
1.500000000000000000e+03 -inf
2.000000000000000000e+03 1.967160912893861299e+06
2.500000000000000000e+03 -inf
3.000000000000000000e+03 2.250109869846783578e+06
3.500000000000000000e+03 -inf
4.000000000000000000e+03 -inf
4.500000000000000000e+03 -inf
